Plot ID,no_of_images,total_pod_count,average_pod_count,wt (kg)
0-101,39,5778,148.1538462,1.96
0-102,38,5323,140.0789474,2.39
0-103,34,6996,205.7647059,2.48
0-104,27,2796,103.5555556,2.15
0-105,35,5741,164.0285714,1.91
0-106,164,24229,147.7378049,2.55
0-107,32,5191,162.21875,2.11
0-108,28,5090,181.7857143,2.44
0-109,38,6638,174.6842105,3.01
0-110,26,3875,149.0384615,2.18
0-111,29,3331,114.862069,2.29
0-112,36,5758,159.9444444,2.46
0-113,29,3568,123.0344828,2.36
0-114,30,5847,194.9,2.48
0-115,23,2080,90.43478261,2.28
0-116,34,7561,222.3823529,2.11
0-117,35,4723,134.9428571,2.25
0-118,39,7093,181.8717949,2.31
0-119,35,5511,157.4571429,2.19
0-120,31,2912,93.93548387,2.77
0-121,45,7770,172.6666667,2.06
0-122,31,4232,136.516129,2.25
0-123,34,5623,165.3823529,2.2
0-124,23,2796,121.5652174,2.45
0-125,74,8651,116.9054054,2.18
0-126,25,3372,134.88,3.03
0-127,28,5128,183.1428571,2.11
0-128,25,3941,157.64,2.29
0-129,23,3067,133.3478261,2.29
0-130,33,5753,174.3333333,2.32
0-131,31,4586,147.9354839,2.18
0-132,29,5640,194.4827586,1.99
0-133,25,2697,107.88,2.39
0-134,58,9112,157.1034483,2.08
0-135,34,4960,145.8823529,2.26
0-136,34,6496,191.0588235,2.1
0-137,36,6594,183.1666667,2.61
0-138,30,4669,155.6333333,2.31
0-139,27,6184,229.037037,1.9
0-140,27,4050,150,2.54
0-141,69,11180,162.0289855,2.27
0-142,30,4440,148,2.45
0-143,33,4677,141.7272727,2.27
0-144,21,1590,75.71428571,2.63
0-145,33,6483,196.4545455,2.5
0-146,23,3675,159.7826087,2.14
0-147,21,1590,75.71428571,2.57
0-148,33,5893,178.5757576,2.45
0-149,25,3829,153.16,2.29
0-150,38,6397,168.3421053,2.03
0-151,32,4293,134.15625,2.12
0-152,31,5513,177.8387097,2.48
0-153,27,2658,98.44444444,2.22
0-154,29,6026,207.7931034,2.44
0-155,37,7103,191.972973,2.14
0-156,30,2982,99.4,2.48
0-157,33,5398,163.5757576,2.6
0-158,29,3049,105.137931,2.54
0-159,32,5487,171.46875,2.23
0-160,27,2739,101.4444444,2.49
0-161,28,4481,160.0357143,2.5
0-201,42,6016,143.2380952,2.14
0-202,32,4067,127.09375,2.17
0-203,31,6204,200.1290323,2.27
0-204,30,3670,122.3333333,2.43
0-205,29,5142,177.3103448,2.27
0-206,27,3673,136.037037,2.23
0-207,25,4982,199.28,2.59
0-208,30,3625,120.8333333,2.16
0-209,27,4082,151.1851852,2.18
0-210,25,3701,148.04,2.31
0-211,27,3739,138.4814815,2.48
0-212,35,7124,203.5428571,2.53
0-213,23,3326,144.6086957,2.68
0-214,28,5378,192.0714286,2.55
0-215,32,4020,125.625,2.48
0-216,33,3839,116.3333333,2.85
0-217,35,2873,82.08571429,2.49
0-218,43,8411,195.6046512,2.41
0-219,33,5508,166.9090909,2.18
0-220,30,3463,115.4333333,2.21
0-221,31,6504,209.8064516,1.96
0-222,26,2732,105.0769231,1.92
0-223,31,4578,147.6774194,2.17
0-224,27,3448,127.7037037,2.09
0-225,29,4452,153.5172414,2.08
0-226,23,2269,98.65217391,2.87
0-227,26,5393,207.4230769,2.07
0-228,26,4844,186.3076923,2.75
0-229,26,3567,137.1923077,2.17
0-230,29,4805,165.6896552,2.42
0-231,26,2496,96,2.24
0-232,35,6290,179.7142857,2.29
0-233,30,4420,147.3333333,2.28
0-234,33,6264,189.8181818,2.57
0-235,31,4031,130.0322581,2.25
0-236,37,7550,204.0540541,2.59
0-237,36,5795,160.9722222,2.45
0-238,33,5099,154.5151515,2.26
0-239,31,4465,144.0322581,2.42
0-240,27,4085,151.2962963,2.24
0-241,25,4630,185.2,2.46
0-242,33,5846,177.1515152,2.47
0-243,22,4276,194.3636364,2.12
0-244,30,2988,99.6,2.84
0-245,35,4206,120.1714286,2.24
0-246,32,5302,165.6875,2.63
0-247,27,4480,165.9259259,2.49
0-248,24,4299,179.125,2.46
0-249,29,3347,115.4137931,2.63
0-250,33,6701,203.0606061,2.47
0-251,28,4458,159.2142857,2.34
0-251,26,4026,154.8461538,2.31
0-252,77,16106,209.1688312,2.65
0-253,33,3818,115.6969697,2.29
0-254,39,5640,144.6153846,2.24
0-255,62,12597,203.1774194,2.28
0-257,41,6795,165.7317073,2.59
0-258,30,4510,150.3333333,2.56
0-259,31,3851,124.2258065,2.14
0-259,24,4395,183.125,2.53
0-260,31,4170,134.516129,2.27
1-101,34,5516,162.2352941,2.29
1-102,28,3908,139.5714286,2.17
1-103,35,5146,147.0285714,2.45
1-104,29,5007,172.6551724,2.27
1-105,32,4278,133.6875,2.46
1-106,35,6409,183.1142857,2.72
1-107,32,4908,153.375,1.98
1-108,37,4304,116.3243243,2.51
1-109,32,6209,194.03125,2.05
1-110,24,4665,194.375,2.47
1-111,32,4725,147.65625,2.21
1-112,27,3895,144.2592593,1.92
1-113,35,6231,178.0285714,2.86
1-114,36,4764,132.3333333,2.37
1-115,30,6580,219.3333333,1.93
1-201,0,0,0,2.28
1-202,27,4070,150.7407407,2.33
1-203,28,2293,81.89285714,2.48
1-204,26,2331,89.65384615,2.81
1-205,25,3716,148.64,2.1
1-206,25,3710,148.4,2.09
1-207,26,3794,145.9230769,2.69
1-208,27,5767,213.5925926,2.35
1-209,28,3966,141.6428571,3.1
1-210,27,4295,159.0740741,2.39
1-211,26,4578,176.0769231,2.37
1-212,28,3959,141.3928571,1.82
1-213,29,4080,140.6896552,2.19
1-214,28,6254,223.3571429,2.59
1-215,25,2636,105.44,2.4
1-301,24,4776,199,2.79
1-302,26,3670,141.1538462,2.57
