plot ID,no_of_images,total_pod_count,average_pod_count,weight
0-101,54,9567,177.1666667,2.51
0-102,52,9021,173.4807692,2.44
0-103,59,4221,71.54237288,2.4
0-104,36,6404,177.8888889,2.71
0-105,42,5663,134.8333333,2.32
0-106,39,6131,157.2051282,2.25
0-107,42,6237,148.5,2.38
0-108,43,5968,138.7906977,2.75
0-109,44,6317,143.5681818,2.88
0-110,43,4319,100.4418605,2.36
0-111,34,5241,154.1470588,2.82
0-112,23,3519,153,1.96
0-113,32,5523,172.59375,2.25
0-114,28,4119,147.1071429,2.51
0-115,32,5288,165.25,2.44
0-201,24,2590,107.9166667,1.96
0-202,46,4942,107.4347826,2.56
0-203,34,5972,175.6470588,2.83
0-204,30,3700,123.3333333,2.4
0-205,38,5795,152.5,2.67
0-206,35,5261,150.3142857,2.55
0-207,29,5575,192.2413793,2.25
0-208,36,4816,133.7777778,2.12
0-209,32,5848,182.75,2.5
0-210,32,4405,137.65625,2.37
0-211,37,5114,138.2162162,2.21
0-212,29,4462,153.862069,2.34
0-213,26,4086,157.1538462,2.3
0-214,39,2864,73.43589744,2.1
0-215,33,4188,126.9090909,2.31
0-301,35,6148,175.6571429,2.37
0-302,33,4718,142.969697,2.31
0-303,41,7440,181.4634146,2.91
0-304,31,5452,175.8709677,2.37
0-305,43,5690,132.3255814,2.76
0-306,29,5469,188.5862069,2.55
0-307,31,6319,203.8387097,2.52
0-308,28,2635,94.10714286,2.56
0-309,36,5734,159.2777778,2.56
0-310,36,6444,179,2.1
0-311,31,3827,123.4516129,2.78
0-312,32,3527,110.21875,2.02
0-313,43,5618,130.6511628,2.26
0-314,39,4879,125.1025641,2.22
0-315,33,4418,133.8787879,2.34
